task,null_mass,null_positive,deadlock
syllogism,0.0017686413592802605,1,0
arithmetic,0.02460602515355131,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.003338241860687302,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
contradiction,1.0,1,1
arithmetic,0.04274667586255664,1,0
arithmetic,0.12761763898802908,1,0
syllogism,0.0009026240806246794,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.0358837287289533,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.016527565485997018,1,0
syllogism,0.0029050264238915536,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.06268769327938867,1,0
syllogism,0.0024019582406948434,1,0
arithmetic,0.02326693372166074,1,0
arithmetic,0.09758597051034464,1,0
syllogism,0.002414743626991052,1,0
arithmetic,0.11513021297493756,1,0
contradiction,1.0,1,1
arithmetic,0.04088887415368539,1,0
contradiction,1.0,1,1
syllogism,0.007384775050297323,1,0
syllogism,0.0018352634440270876,1,0
arithmetic,0.04612972584468916,1,0
arithmetic,0.06188110837807628,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0010445462847596995,1,0
arithmetic,0.04950117883331387,1,0
syllogism,0.0010445462847596995,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0018352448523089049,1,0
arithmetic,0.11080772429510513,1,0
arithmetic,0.04613092278515627,1,0
arithmetic,0.023596944395233396,1,0
syllogism,0.0009676378264586253,1,0
syllogism,0.005074493024398126,1,0
syllogism,0.0013176326618522134,1,0
syllogism,0.0014134533907691265,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.07319675697267461,1,0
arithmetic,0.055062549000719815,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.016313091746254112,1,0
arithmetic,0.037108526562986396,1,0
arithmetic,0.10986362974917639,1,0
syllogism,0.003985045479283857,1,0
syllogism,0.001093285219095872,1,0
syllogism,0.0011362146271740258,1,0
contradiction,0.9999999999999998,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0009420525686127606,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.006680763048147966,1,0
syllogism,0.0010496234749375712,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.2516187013178772,1,0
syllogism,0.0039394415269533006,1,0
syllogism,0.0073322376745291375,1,0
syllogism,0.004232181098887091,1,0
arithmetic,0.014591445105749315,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0011363353644899296,1,0
arithmetic,0.036297729680608494,1,0
syllogism,0.0017944799152512375,1,0
syllogism,0.0005263988951818305,1,0
syllogism,0.002921711839862414,1,0
syllogism,0.0018202521411165122,1,0
syllogism,0.0016707761117401032,1,0
contradiction,1.0,1,1
syllogism,0.0017100520011340608,1,0
arithmetic,0.017956500191465954,1,0
syllogism,0.004230688965763355,1,0
syllogism,0.006179582518911299,1,0
contradiction,1.0000000000000002,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0024754887502461253,1,0
syllogism,0.0013915816964077995,1,0
syllogism,0.0007356444787028559,1,0
arithmetic,0.06464058061916854,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0018202195325021007,1,0
arithmetic,0.008891373608812253,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.07874792957950627,1,0
arithmetic,0.12450694128324154,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0017835636360716276,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0017957869263874801,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0007263801671233419,1,0
arithmetic,0.029316563272917078,1,0
contradiction,1.0,1,1
contradiction,1.0000000000000002,1,1
arithmetic,0.035477442114235716,1,0
syllogism,0.002011083430018496,1,0
arithmetic,0.11715450306051861,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.002531048198466322,1,0
arithmetic,0.039050339928599055,1,0
arithmetic,0.11513021200527122,1,0
syllogism,0.003004269045383307,1,0
syllogism,0.012715237185352925,1,0
contradiction,1.0,1,1
arithmetic,0.1178524677712294,1,0
arithmetic,0.025951961285849565,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
arithmetic,0.021288488522158158,1,0
syllogism,0.0033316679860347625,1,0
arithmetic,0.059654998172986966,1,0
syllogism,0.0020078078051388214,1,0
syllogism,0.002757508458201971,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.02857469901559755,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0033060237592458914,1,0
arithmetic,0.06503569074295913,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0000000000000002,1,1
syllogism,0.0007359293821246049,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0013747903369204504,1,0
arithmetic,0.013234352659614819,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
arithmetic,0.010641555868498452,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.021332814987237835,1,0
syllogism,0.0073322372085384046,1,0
syllogism,0.01012551806522349,1,0
syllogism,0.0012616700261080297,1,0
contradiction,1.0,1,1
syllogism,0.0010544012355931647,1,0
syllogism,0.00290497059547518,1,0
arithmetic,0.008144656100828077,1,0
syllogism,0.0018538697021768815,1,0
syllogism,0.0014890509172773136,1,0
syllogism,0.0010496424486286778,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.000957459553313807,1,0
syllogism,0.0017097914459727392,1,0
contradiction,1.0,1,1
syllogism,0.001521520188781947,1,0
arithmetic,0.09120079386059077,1,0
arithmetic,0.1226182154855195,1,0
arithmetic,0.054086806085049524,1,0
syllogism,0.0025966191496289877,1,0
arithmetic,0.02350824301948183,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.05904850102941799,1,0
contradiction,1.0,1,1
syllogism,0.0014438620619140945,1,0
syllogism,0.0015570325460151594,1,0
syllogism,0.0029058985665467688,1,0
contradiction,0.9999999999999997,1,1
syllogism,0.0018532690755505602,1,0
syllogism,0.0012092515876730137,1,0
syllogism,0.004232221002975719,1,0
syllogism,0.0010445631493026441,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0013747571994055714,1,0
syllogism,0.007332267872086309,1,0
syllogism,0.004232181225417635,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999998,1,1
syllogism,0.0018499604765705433,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.03253535971104825,1,0
arithmetic,0.10210396766494848,1,0
syllogism,0.001819862198296652,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
arithmetic,0.04770158230927954,1,0
contradiction,1.0,1,1
arithmetic,0.13120825643312156,1,0
arithmetic,0.03698890717433161,1,0
syllogism,0.001410314238814013,1,0
syllogism,0.0015570204992636913,1,0
contradiction,1.0000000000000002,1,1
arithmetic,0.04699056647679747,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.030913261134498875,1,0
syllogism,0.0021659013956515784,1,0
contradiction,0.9999999999999997,1,1
contradiction,0.9999999999999997,1,1
syllogism,0.0014182323575322115,1,0
arithmetic,0.07168802304119634,1,0
syllogism,0.001333345428669013,1,0
syllogism,0.006179540381043739,1,0
arithmetic,0.06454077148139249,1,0
contradiction,1.0,1,1
arithmetic,0.08218964814210745,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0007779500661010454,1,0
contradiction,1.0,1,1
syllogism,0.0007779167050418013,1,0
arithmetic,0.022232092335815315,1,0
arithmetic,0.030974320264004603,1,0
syllogism,0.0039381231948425,1,0
syllogism,0.004095214497894797,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.001261687891132047,1,0
arithmetic,0.022693859701003006,1,0
syllogism,0.0016709287681724732,1,0
contradiction,1.0,1,1
syllogism,0.0014182323575322115,1,0
arithmetic,0.01602578103068293,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.038967123360824155,1,0
arithmetic,0.006179677758804727,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0009419933784441134,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.1613417993744386,1,0
contradiction,1.0,1,1
syllogism,0.0017860813415096358,1,0
arithmetic,0.49061162898511607,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0019225512614301883,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.2402586415792344,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999998,1,1
arithmetic,0.08563198064297751,1,0
syllogism,0.0014523864428214752,1,0
syllogism,0.0033382443215585374,1,0
contradiction,1.0,1,1
contradiction,1.0,1,1
contradiction,1.0,1,1
